Unnamed: 0,id,date,store_nbr,family,sales,onpromotion,holiday_type,locale,locale_name,description,transferred,dcoilwtico,city,state,store_type,cluster,transactions,year,month,week,quarter,day_of_week
2373495,2330727,2016-08-03,6,BEVERAGES,3174.0,16,,,,,,40.8,Quito,Pichincha,D,13,1667.0,2016,8,31,3,Wednesday
1630609,1609766,2015-06-25,26,PET SUPPLIES,0.0,0,Holiday,Regional,Imbabura,Provincializacion de Imbabura,False,59.59,Guayaquil,Guayas,D,10,457.0,2015,6,26,2,Thursday
2167895,2141165,2016-04-19,36,PET SUPPLIES,0.0,0,Event,National,Ecuador,Terremoto Manabi+3,False,40.88,Libertad,Guayas,E,10,1511.0,2016,4,16,2,Tuesday
2569081,2524531,2016-11-20,42,SCHOOL AND OFFICE SUPPLIES,0.0,0,,,,,,,Cuenca,Azuay,D,2,1304.0,2016,11,46,4,Sunday
1783168,1758220,2015-09-16,41,GROCERY II,31.0,0,,,,,,47.12,Machala,El Oro,D,4,1016.0,2015,9,38,3,Wednesday
2796642,2750310,2017-03-28,28,MEATS,208.636,0,,,,,,48.36,Guayaquil,Guayas,E,10,1235.0,2017,3,13,1,Tuesday
2860972,2812858,2017-05-02,33,BOOKS,0.0,0,,,,,,47.65,Quevedo,Los Rios,C,3,1032.0,2017,5,18,2,Tuesday
1984740,1958010,2016-01-07,47,LINGERIE,2.0,0,,,,,,33.29,Quito,Pichincha,A,14,3528.0,2016,1,1,1,Thursday
2855683,2807569,2017-04-29,34,POULTRY,137.596,0,,,,,,,Guayaquil,Guayas,B,6,2793.0,2017,4,17,2,Saturday
2646669,2600337,2017-01-03,20,BEVERAGES,4228.0,37,,,,,,52.36,Quito,Pichincha,B,6,1735.0,2017,1,1,1,Tuesday
1905700,1880752,2015-11-24,3,HOME AND KITCHEN II,27.0,0,,,,,,40.89,Quito,Pichincha,D,8,2830.0,2015,11,48,4,Tuesday
1629621,1609437,2015-06-25,17,PLAYERS AND ELECTRONICS,2.0,0,Holiday,Local,Machala,Fundacion de Machala,False,59.59,Quito,Pichincha,C,12,1190.0,2015,6,26,2,Thursday
1653556,1628608,2015-07-05,54,PERSONAL CARE,335.0,1,,,,,,,El Carmen,Manabi,C,3,1160.0,2015,7,27,3,Sunday
2444014,2401246,2016-09-12,34,BABY CARE,0.0,0,,,,,,46.28,Guayaquil,Guayas,B,6,2018.0,2016,9,37,3,Monday
1591567,1571965,2015-06-04,16,EGGS,96.0,14,,,,,,58.0,Santo Domingo,Santo Domingo de los Tsachilas,C,3,933.0,2015,6,23,2,Thursday
1621664,1602062,2015-06-21,10,FROZEN FOODS,50.0,1,,,,,,,Quito,Pichincha,C,15,961.0,2015,6,25,2,Sunday
1913565,1888617,2015-11-28,5,PLAYERS AND ELECTRONICS,9.0,0,,,,,,,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1363.0,2015,11,48,4,Saturday
2975283,2923042,2017-07-03,25,BABY CARE,0.0,0,Holiday,Local,Santo Domingo,Fundacion de Santo Domingo,False,,Salinas,Santa Elena,D,1,782.0,2017,7,27,3,Monday
1907640,1882692,2015-11-25,34,DELI,161.243,0,,,,,,41.22,Guayaquil,Guayas,B,6,1774.0,2015,11,48,4,Wednesday
3042611,2989151,2017-08-09,3,FROZEN FOODS,244.759,1,,,,,,49.59,Quito,Pichincha,D,8,2962.0,2017,8,32,3,Wednesday
1802497,1777549,2015-09-27,34,BOOKS,0.0,0,,,,,,,Guayaquil,Guayas,B,6,1920.0,2015,9,39,3,Sunday
3036121,2982661,2017-08-05,47,"LIQUOR,WINE,BEER",338.0,5,Holiday,Local,Esmeraldas,Fundacion de Esmeraldas,False,,Quito,Pichincha,A,14,4499.0,2017,8,31,3,Saturday
